"Character","Description","Encoded Byte"
" &#119525;","MAYAN NUMERAL FIVE (U+1D2E5)"," f09d8ba5"
" &#119526;","MAYAN NUMERAL SIX (U+1D2E6)"," f09d8ba6"
" &#119527;","MAYAN NUMERAL SEVEN (U+1D2E7)"," f09d8ba7"
" &#119528;","MAYAN NUMERAL EIGHT (U+1D2E8)"," f09d8ba8"
" &#119529;","MAYAN NUMERAL NINE (U+1D2E9)"," f09d8ba9"
" &#119530;","MAYAN NUMERAL TEN (U+1D2EA)"," f09d8baa"
" &#119531;","MAYAN NUMERAL ELEVEN (U+1D2EB)"," f09d8bab"
" &#119532;","MAYAN NUMERAL TWELVE (U+1D2EC)"," f09d8bac"
" &#119533;","MAYAN NUMERAL THIRTEEN (U+1D2ED)"," f09d8bad"
" &#119534;","MAYAN NUMERAL FOURTEEN (U+1D2EE)"," f09d8bae"
" &#119535;","MAYAN NUMERAL FIFTEEN (U+1D2EF)"," f09d8baf"
" &#119536;","MAYAN NUMERAL SIXTEEN (U+1D2F0)"," f09d8bb0"
" &#119537;","MAYAN NUMERAL SEVENTEEN (U+1D2F1)"," f09d8bb1"
" &#119538;","MAYAN NUMERAL EIGHTEEN (U+1D2F2)"," f09d8bb2"
" &#119539;","MAYAN NUMERAL NINETEEN (U+1D2F3)"," f09d8bb3"
" &#119552;","MONOGRAM FOR EARTH (U+1D300)"," f09d8c80"
" &#119553;","DIGRAM FOR HEAVENLY EARTH (U+1D301)"," f09d8c81"
" &#119554;","DIGRAM FOR HUMAN EARTH (U+1D302)"," f09d8c82"
" &#119555;","DIGRAM FOR EARTHLY HEAVEN (U+1D303)"," f09d8c83"
" &#119556;","DIGRAM FOR EARTHLY HUMAN (U+1D304)"," f09d8c84"
" &#119557;","DIGRAM FOR EARTH (U+1D305)"," f09d8c85"
" &#119558;","TETRAGRAM FOR CENTRE (U+1D306)"," f09d8c86"
" &#119559;","TETRAGRAM FOR FULL CIRCLE (U+1D307)"," f09d8c87"
" &#119560;","TETRAGRAM FOR MIRED (U+1D308)"," f09d8c88"
" &#119561;","TETRAGRAM FOR BARRIER (U+1D309)"," f09d8c89"
" &#119562;","TETRAGRAM FOR KEEPING SMALL (U+1D30A)"," f09d8c8a"
" &#119563;","TETRAGRAM FOR CONTRARIETY (U+1D30B)"," f09d8c8b"
" &#119564;","TETRAGRAM FOR ASCENT (U+1D30C)"," f09d8c8c"
" &#119565;","TETRAGRAM FOR OPPOSITION (U+1D30D)"," f09d8c8d"
" &#119566;","TETRAGRAM FOR BRANCHING OUT (U+1D30E)"," f09d8c8e"
" &#119567;","TETRAGRAM FOR DEFECTIVENESS OR DISTORTION (U+1D30F)"," f09d8c8f"
" &#119568;","TETRAGRAM FOR DIVERGENCE (U+1D310)"," f09d8c90"
" &#119569;","TETRAGRAM FOR YOUTHFULNESS (U+1D311)"," f09d8c91"
" &#119570;","TETRAGRAM FOR INCREASE (U+1D312)"," f09d8c92"
" &#119571;","TETRAGRAM FOR PENETRATION (U+1D313)"," f09d8c93"
" &#119572;","TETRAGRAM FOR REACH (U+1D314)"," f09d8c94"
" &#119573;","TETRAGRAM FOR CONTACT (U+1D315)"," f09d8c95"
" &#119574;","TETRAGRAM FOR HOLDING BACK (U+1D316)"," f09d8c96"
" &#119575;","TETRAGRAM FOR WAITING (U+1D317)"," f09d8c97"
" &#119576;","TETRAGRAM FOR FOLLOWING (U+1D318)"," f09d8c98"
" &#119577;","TETRAGRAM FOR ADVANCE (U+1D319)"," f09d8c99"
" &#119578;","TETRAGRAM FOR RELEASE (U+1D31A)"," f09d8c9a"
" &#119579;","TETRAGRAM FOR RESISTANCE (U+1D31B)"," f09d8c9b"
" &#119580;","TETRAGRAM FOR EASE (U+1D31C)"," f09d8c9c"
" &#119581;","TETRAGRAM FOR JOY (U+1D31D)"," f09d8c9d"
" &#119582;","TETRAGRAM FOR CONTENTION (U+1D31E)"," f09d8c9e"
" &#119583;","TETRAGRAM FOR ENDEAVOUR (U+1D31F)"," f09d8c9f"
" &#119584;","TETRAGRAM FOR DUTIES (U+1D320)"," f09d8ca0"
" &#119585;","TETRAGRAM FOR CHANGE (U+1D321)"," f09d8ca1"
" &#119586;","TETRAGRAM FOR DECISIVENESS (U+1D322)"," f09d8ca2"
" &#119587;","TETRAGRAM FOR BOLD RESOLUTION (U+1D323)"," f09d8ca3"
" &#119588;","TETRAGRAM FOR PACKING (U+1D324)"," f09d8ca4"
" &#119589;","TETRAGRAM FOR LEGION (U+1D325)"," f09d8ca5"
" &#119590;","TETRAGRAM FOR CLOSENESS (U+1D326)"," f09d8ca6"
" &#119591;","TETRAGRAM FOR KINSHIP (U+1D327)"," f09d8ca7"
" &#119592;","TETRAGRAM FOR GATHERING (U+1D328)"," f09d8ca8"
" &#119593;","TETRAGRAM FOR STRENGTH (U+1D329)"," f09d8ca9"
" &#119594;","TETRAGRAM FOR PURITY (U+1D32A)"," f09d8caa"
" &#119595;","TETRAGRAM FOR FULLNESS (U+1D32B)"," f09d8cab"
" &#119596;","TETRAGRAM FOR RESIDENCE (U+1D32C)"," f09d8cac"
" &#119597;","TETRAGRAM FOR LAW OR MODEL (U+1D32D)"," f09d8cad"
" &#119598;","TETRAGRAM FOR RESPONSE (U+1D32E)"," f09d8cae"
" &#119599;","TETRAGRAM FOR GOING TO MEET (U+1D32F)"," f09d8caf"
" &#119600;","TETRAGRAM FOR ENCOUNTERS (U+1D330)"," f09d8cb0"
" &#119601;","TETRAGRAM FOR STOVE (U+1D331)"," f09d8cb1"
" &#119602;","TETRAGRAM FOR GREATNESS (U+1D332)"," f09d8cb2"
" &#119603;","TETRAGRAM FOR ENLARGEMENT (U+1D333)"," f09d8cb3"
" &#119604;","TETRAGRAM FOR PATTERN (U+1D334)"," f09d8cb4"
" &#119605;","TETRAGRAM FOR RITUAL (U+1D335)"," f09d8cb5"
" &#119606;","TETRAGRAM FOR FLIGHT (U+1D336)"," f09d8cb6"
" &#119607;","TETRAGRAM FOR VASTNESS OR WASTING (U+1D337)"," f09d8cb7"
" &#119608;","TETRAGRAM FOR CONSTANCY (U+1D338)"," f09d8cb8"
" &#119609;","TETRAGRAM FOR MEASURE (U+1D339)"," f09d8cb9"
" &#119610;","TETRAGRAM FOR ETERNITY (U+1D33A)"," f09d8cba"
" &#119611;","TETRAGRAM FOR UNITY (U+1D33B)"," f09d8cbb"
" &#119612;","TETRAGRAM FOR DIMINISHMENT (U+1D33C)"," f09d8cbc"
" &#119613;","TETRAGRAM FOR CLOSED MOUTH (U+1D33D)"," f09d8cbd"
" &#119614;","TETRAGRAM FOR GUARDEDNESS (U+1D33E)"," f09d8cbe"
" &#119615;","TETRAGRAM FOR GATHERING IN (U+1D33F)"," f09d8cbf"
" &#119616;","TETRAGRAM FOR MASSING (U+1D340)"," f09d8d80"
" &#119617;","TETRAGRAM FOR ACCUMULATION (U+1D341)"," f09d8d81"
" &#119618;","TETRAGRAM FOR EMBELLISHMENT (U+1D342)"," f09d8d82"
" &#119619;","TETRAGRAM FOR DOUBT (U+1D343)"," f09d8d83"
" &#119620;","TETRAGRAM FOR WATCH (U+1D344)"," f09d8d84"
" &#119621;","TETRAGRAM FOR SINKING (U+1D345)"," f09d8d85"
" &#119622;","TETRAGRAM FOR INNER (U+1D346)"," f09d8d86"
" &#119623;","TETRAGRAM FOR DEPARTURE (U+1D347)"," f09d8d87"
" &#119624;","TETRAGRAM FOR DARKENING (U+1D348)"," f09d8d88"
" &#119625;","TETRAGRAM FOR DIMMING (U+1D349)"," f09d8d89"
" &#119626;","TETRAGRAM FOR EXHAUSTION (U+1D34A)"," f09d8d8a"
" &#119627;","TETRAGRAM FOR SEVERANCE (U+1D34B)"," f09d8d8b"
" &#119628;","TETRAGRAM FOR STOPPAGE (U+1D34C)"," f09d8d8c"
" &#119629;","TETRAGRAM FOR HARDNESS (U+1D34D)"," f09d8d8d"
" &#119630;","TETRAGRAM FOR COMPLETION (U+1D34E)"," f09d8d8e"
" &#119631;","TETRAGRAM FOR CLOSURE (U+1D34F)"," f09d8d8f"
" &#119632;","TETRAGRAM FOR FAILURE (U+1D350)"," f09d8d90"
" &#119633;","TETRAGRAM FOR AGGRAVATION (U+1D351)"," f09d8d91"
" &#119634;","TETRAGRAM FOR COMPLIANCE (U+1D352)"," f09d8d92"
" &#119635;","TETRAGRAM FOR ON THE VERGE (U+1D353)"," f09d8d93"
" &#119636;","TETRAGRAM FOR DIFFICULTIES (U+1D354)"," f09d8d94"
" &#119637;","TETRAGRAM FOR LABOURING (U+1D355)"," f09d8d95"
" &#119638;","TETRAGRAM FOR FOSTERING (U+1D356)"," f09d8d96"
" &#119648;","COUNTING ROD UNIT DIGIT ONE (U+1D360)"," f09d8da0"
" &#119649;","COUNTING ROD UNIT DIGIT TWO (U+1D361)"," f09d8da1"
" &#119650;","COUNTING ROD UNIT DIGIT THREE (U+1D362)"," f09d8da2"
" &#119651;","COUNTING ROD UNIT DIGIT FOUR (U+1D363)"," f09d8da3"
" &#119652;","COUNTING ROD UNIT DIGIT FIVE (U+1D364)"," f09d8da4"
" &#119653;","COUNTING ROD UNIT DIGIT SIX (U+1D365)"," f09d8da5"
" &#119654;","COUNTING ROD UNIT DIGIT SEVEN (U+1D366)"," f09d8da6"
" &#119655;","COUNTING ROD UNIT DIGIT EIGHT (U+1D367)"," f09d8da7"
" &#119656;","COUNTING ROD UNIT DIGIT NINE (U+1D368)"," f09d8da8"
" &#119657;","COUNTING ROD TENS DIGIT ONE (U+1D369)"," f09d8da9"
" &#119658;","COUNTING ROD TENS DIGIT TWO (U+1D36A)"," f09d8daa"
" &#119659;","COUNTING ROD TENS DIGIT THREE (U+1D36B)"," f09d8dab"
" &#119660;","COUNTING ROD TENS DIGIT FOUR (U+1D36C)"," f09d8dac"
" &#119661;","COUNTING ROD TENS DIGIT FIVE (U+1D36D)"," f09d8dad"
" &#119662;","COUNTING ROD TENS DIGIT SIX (U+1D36E)"," f09d8dae"
" &#119663;","COUNTING ROD TENS DIGIT SEVEN (U+1D36F)"," f09d8daf"
" &#119664;","COUNTING ROD TENS DIGIT EIGHT (U+1D370)"," f09d8db0"
" &#119665;","COUNTING ROD TENS DIGIT NINE (U+1D371)"," f09d8db1"
" &#119666;","IDEOGRAPHIC TALLY MARK ONE (U+1D372)"," f09d8db2"
" &#119667;","IDEOGRAPHIC TALLY MARK TWO (U+1D373)"," f09d8db3"
" &#119668;","IDEOGRAPHIC TALLY MARK THREE (U+1D374)"," f09d8db4"
" &#119669;","IDEOGRAPHIC TALLY MARK FOUR (U+1D375)"," f09d8db5"
" &#119670;","IDEOGRAPHIC TALLY MARK FIVE (U+1D376)"," f09d8db6"
" &#119671;","TALLY MARK ONE (U+1D377)"," f09d8db7"
" &#119672;","TALLY MARK FIVE (U+1D378)"," f09d8db8"
" &#119808;","MATHEMATICAL BOLD CAPITAL A (U+1D400)"," f09d9080"
" &#119809;","MATHEMATICAL BOLD CAPITAL B (U+1D401)"," f09d9081"
" &#119810;","MATHEMATICAL BOLD CAPITAL C (U+1D402)"," f09d9082"
" &#119811;","MATHEMATICAL BOLD CAPITAL D (U+1D403)"," f09d9083"
" &#119812;","MATHEMATICAL BOLD CAPITAL E (U+1D404)"," f09d9084"
" &#119813;","MATHEMATICAL BOLD CAPITAL F (U+1D405)"," f09d9085"
" &#119814;","MATHEMATICAL BOLD CAPITAL G (U+1D406)"," f09d9086"
" &#119815;","MATHEMATICAL BOLD CAPITAL H (U+1D407)"," f09d9087"
" &#119816;","MATHEMATICAL BOLD CAPITAL I (U+1D408)"," f09d9088"
" &#119817;","MATHEMATICAL BOLD CAPITAL J (U+1D409)"," f09d9089"
" &#119818;","MATHEMATICAL BOLD CAPITAL K (U+1D40A)"," f09d908a"
" &#119819;","MATHEMATICAL BOLD CAPITAL L (U+1D40B)"," f09d908b"
" &#119820;","MATHEMATICAL BOLD CAPITAL M (U+1D40C)"," f09d908c"
" &#119821;","MATHEMATICAL BOLD CAPITAL N (U+1D40D)"," f09d908d"
" &#119822;","MATHEMATICAL BOLD CAPITAL O (U+1D40E)"," f09d908e"
" &#119823;","MATHEMATICAL BOLD CAPITAL P (U+1D40F)"," f09d908f"
" &#119824;","MATHEMATICAL BOLD CAPITAL Q (U+1D410)"," f09d9090"
" &#119825;","MATHEMATICAL BOLD CAPITAL R (U+1D411)"," f09d9091"
" &#119826;","MATHEMATICAL BOLD CAPITAL S (U+1D412)"," f09d9092"
" &#119827;","MATHEMATICAL BOLD CAPITAL T (U+1D413)"," f09d9093"
" &#119828;","MATHEMATICAL BOLD CAPITAL U (U+1D414)"," f09d9094"
" &#119829;","MATHEMATICAL BOLD CAPITAL V (U+1D415)"," f09d9095"
" &#119830;","MATHEMATICAL BOLD CAPITAL W (U+1D416)"," f09d9096"
" &#119831;","MATHEMATICAL BOLD CAPITAL X (U+1D417)"," f09d9097"
" &#119832;","MATHEMATICAL BOLD CAPITAL Y (U+1D418)"," f09d9098"
" &#119833;","MATHEMATICAL BOLD CAPITAL Z (U+1D419)"," f09d9099"
" &#119834;","MATHEMATICAL BOLD SMALL A (U+1D41A)"," f09d909a"
" &#119835;","MATHEMATICAL BOLD SMALL B (U+1D41B)"," f09d909b"
" &#119836;","MATHEMATICAL BOLD SMALL C (U+1D41C)"," f09d909c"
" &#119837;","MATHEMATICAL BOLD SMALL D (U+1D41D)"," f09d909d"
" &#119838;","MATHEMATICAL BOLD SMALL E (U+1D41E)"," f09d909e"
" &#119839;","MATHEMATICAL BOLD SMALL F (U+1D41F)"," f09d909f"
" &#119840;","MATHEMATICAL BOLD SMALL G (U+1D420)"," f09d90a0"
" &#119841;","MATHEMATICAL BOLD SMALL H (U+1D421)"," f09d90a1"
" &#119842;","MATHEMATICAL BOLD SMALL I (U+1D422)"," f09d90a2"
" &#119843;","MATHEMATICAL BOLD SMALL J (U+1D423)"," f09d90a3"
" &#119844;","MATHEMATICAL BOLD SMALL K (U+1D424)"," f09d90a4"
" &#119845;","MATHEMATICAL BOLD SMALL L (U+1D425)"," f09d90a5"
" &#119846;","MATHEMATICAL BOLD SMALL M (U+1D426)"," f09d90a6"
" &#119847;","MATHEMATICAL BOLD SMALL N (U+1D427)"," f09d90a7"
" &#119848;","MATHEMATICAL BOLD SMALL O (U+1D428)"," f09d90a8"
" &#119849;","MATHEMATICAL BOLD SMALL P (U+1D429)"," f09d90a9"
" &#119850;","MATHEMATICAL BOLD SMALL Q (U+1D42A)"," f09d90aa"
" &#119851;","MATHEMATICAL BOLD SMALL R (U+1D42B)"," f09d90ab"
" &#119852;","MATHEMATICAL BOLD SMALL S (U+1D42C)"," f09d90ac"
" &#119853;","MATHEMATICAL BOLD SMALL T (U+1D42D)"," f09d90ad"
" &#119854;","MATHEMATICAL BOLD SMALL U (U+1D42E)"," f09d90ae"
" &#119855;","MATHEMATICAL BOLD SMALL V (U+1D42F)"," f09d90af"
" &#119856;","MATHEMATICAL BOLD SMALL W (U+1D430)"," f09d90b0"
" &#119857;","MATHEMATICAL BOLD SMALL X (U+1D431)"," f09d90b1"
" &#119858;","MATHEMATICAL BOLD SMALL Y (U+1D432)"," f09d90b2"
" &#119859;","MATHEMATICAL BOLD SMALL Z (U+1D433)"," f09d90b3"
" &#119860;","MATHEMATICAL ITALIC CAPITAL A (U+1D434)"," f09d90b4"
" &#119861;","MATHEMATICAL ITALIC CAPITAL B (U+1D435)"," f09d90b5"
" &#119862;","MATHEMATICAL ITALIC CAPITAL C (U+1D436)"," f09d90b6"
" &#119863;","MATHEMATICAL ITALIC CAPITAL D (U+1D437)"," f09d90b7"
" &#119864;","MATHEMATICAL ITALIC CAPITAL E (U+1D438)"," f09d90b8"
" &#119865;","MATHEMATICAL ITALIC CAPITAL F (U+1D439)"," f09d90b9"
" &#119866;","MATHEMATICAL ITALIC CAPITAL G (U+1D43A)"," f09d90ba"
" &#119867;","MATHEMATICAL ITALIC CAPITAL H (U+1D43B)"," f09d90bb"
" &#119868;","MATHEMATICAL ITALIC CAPITAL I (U+1D43C)"," f09d90bc"
" &#119869;","MATHEMATICAL ITALIC CAPITAL J (U+1D43D)"," f09d90bd"
" &#119870;","MATHEMATICAL ITALIC CAPITAL K (U+1D43E)"," f09d90be"
" &#119871;","MATHEMATICAL ITALIC CAPITAL L (U+1D43F)"," f09d90bf"
" &#119872;","MATHEMATICAL ITALIC CAPITAL M (U+1D440)"," f09d9180"
" &#119873;","MATHEMATICAL ITALIC CAPITAL N (U+1D441)"," f09d9181"
" &#119874;","MATHEMATICAL ITALIC CAPITAL O (U+1D442)"," f09d9182"
" &#119875;","MATHEMATICAL ITALIC CAPITAL P (U+1D443)"," f09d9183"
" &#119876;","MATHEMATICAL ITALIC CAPITAL Q (U+1D444)"," f09d9184"
" &#119877;","MATHEMATICAL ITALIC CAPITAL R (U+1D445)"," f09d9185"
" &#119878;","MATHEMATICAL ITALIC CAPITAL S (U+1D446)"," f09d9186"
" &#119879;","MATHEMATICAL ITALIC CAPITAL T (U+1D447)"," f09d9187"
" &#119880;","MATHEMATICAL ITALIC CAPITAL U (U+1D448)"," f09d9188"
" &#119881;","MATHEMATICAL ITALIC CAPITAL V (U+1D449)"," f09d9189"
" &#119882;","MATHEMATICAL ITALIC CAPITAL W (U+1D44A)"," f09d918a"
" &#119883;","MATHEMATICAL ITALIC CAPITAL X (U+1D44B)"," f09d918b"
" &#119884;","MATHEMATICAL ITALIC CAPITAL Y (U+1D44C)"," f09d918c"
" &#119885;","MATHEMATICAL ITALIC CAPITAL Z (U+1D44D)"," f09d918d"
" &#119886;","MATHEMATICAL ITALIC SMALL A (U+1D44E)"," f09d918e"
" &#119887;","MATHEMATICAL ITALIC SMALL B (U+1D44F)"," f09d918f"
" &#119888;","MATHEMATICAL ITALIC SMALL C (U+1D450)"," f09d9190"
" &#119889;","MATHEMATICAL ITALIC SMALL D (U+1D451)"," f09d9191"
" &#119890;","MATHEMATICAL ITALIC SMALL E (U+1D452)"," f09d9192"
" &#119891;","MATHEMATICAL ITALIC SMALL F (U+1D453)"," f09d9193"
" &#119892;","MATHEMATICAL ITALIC SMALL G (U+1D454)"," f09d9194"
" &#119894;","MATHEMATICAL ITALIC SMALL I (U+1D456)"," f09d9196"
" &#119895;","MATHEMATICAL ITALIC SMALL J (U+1D457)"," f09d9197"
" &#119896;","MATHEMATICAL ITALIC SMALL K (U+1D458)"," f09d9198"
" &#119897;","MATHEMATICAL ITALIC SMALL L (U+1D459)"," f09d9199"
" &#119898;","MATHEMATICAL ITALIC SMALL M (U+1D45A)"," f09d919a"
" &#119899;","MATHEMATICAL ITALIC SMALL N (U+1D45B)"," f09d919b"
" &#119900;","MATHEMATICAL ITALIC SMALL O (U+1D45C)"," f09d919c"
" &#119901;","MATHEMATICAL ITALIC SMALL P (U+1D45D)"," f09d919d"
" &#119902;","MATHEMATICAL ITALIC SMALL Q (U+1D45E)"," f09d919e"
" &#119903;","MATHEMATICAL ITALIC SMALL R (U+1D45F)"," f09d919f"
" &#119904;","MATHEMATICAL ITALIC SMALL S (U+1D460)"," f09d91a0"
" &#119905;","MATHEMATICAL ITALIC SMALL T (U+1D461)"," f09d91a1"
" &#119906;","MATHEMATICAL ITALIC SMALL U (U+1D462)"," f09d91a2"
" &#119907;","MATHEMATICAL ITALIC SMALL V (U+1D463)"," f09d91a3"
" &#119908;","MATHEMATICAL ITALIC SMALL W (U+1D464)"," f09d91a4"
" &#119909;","MATHEMATICAL ITALIC SMALL X (U+1D465)"," f09d91a5"
" &#119910;","MATHEMATICAL ITALIC SMALL Y (U+1D466)"," f09d91a6"
" &#119911;","MATHEMATICAL ITALIC SMALL Z (U+1D467)"," f09d91a7"
" &#119912;","MATHEMATICAL BOLD ITALIC CAPITAL A (U+1D468)"," f09d91a8"
" &#119913;","MATHEMATICAL BOLD ITALIC CAPITAL B (U+1D469)"," f09d91a9"
" &#119914;","MATHEMATICAL BOLD ITALIC CAPITAL C (U+1D46A)"," f09d91aa"
" &#119915;","MATHEMATICAL BOLD ITALIC CAPITAL D (U+1D46B)"," f09d91ab"
" &#119916;","MATHEMATICAL BOLD ITALIC CAPITAL E (U+1D46C)"," f09d91ac"
" &#119917;","MATHEMATICAL BOLD ITALIC CAPITAL F (U+1D46D)"," f09d91ad"
" &#119918;","MATHEMATICAL BOLD ITALIC CAPITAL G (U+1D46E)"," f09d91ae"
" &#119919;","MATHEMATICAL BOLD ITALIC CAPITAL H (U+1D46F)"," f09d91af"
" &#119920;","MATHEMATICAL BOLD ITALIC CAPITAL I (U+1D470)"," f09d91b0"
" &#119921;","MATHEMATICAL BOLD ITALIC CAPITAL J (U+1D471)"," f09d91b1"
" &#119922;","MATHEMATICAL BOLD ITALIC CAPITAL K (U+1D472)"," f09d91b2"
" &#119923;","MATHEMATICAL BOLD ITALIC CAPITAL L (U+1D473)"," f09d91b3"
" &#119924;","MATHEMATICAL BOLD ITALIC CAPITAL M (U+1D474)"," f09d91b4"
" &#119925;","MATHEMATICAL BOLD ITALIC CAPITAL N (U+1D475)"," f09d91b5"
" &#119926;","MATHEMATICAL BOLD ITALIC CAPITAL O (U+1D476)"," f09d91b6"
" &#119927;","MATHEMATICAL BOLD ITALIC CAPITAL P (U+1D477)"," f09d91b7"
" &#119928;","MATHEMATICAL BOLD ITALIC CAPITAL Q (U+1D478)"," f09d91b8"
" &#119929;","MATHEMATICAL BOLD ITALIC CAPITAL R (U+1D479)"," f09d91b9"
" &#119930;","MATHEMATICAL BOLD ITALIC CAPITAL S (U+1D47A)"," f09d91ba"
" &#119931;","MATHEMATICAL BOLD ITALIC CAPITAL T (U+1D47B)"," f09d91bb"
" &#119932;","MATHEMATICAL BOLD ITALIC CAPITAL U (U+1D47C)"," f09d91bc"
" &#119933;","MATHEMATICAL BOLD ITALIC CAPITAL V (U+1D47D)"," f09d91bd"
" &#119934;","MATHEMATICAL BOLD ITALIC CAPITAL W (U+1D47E)"," f09d91be"
" &#119935;","MATHEMATICAL BOLD ITALIC CAPITAL X (U+1D47F)"," f09d91bf"
" &#119936;","MATHEMATICAL BOLD ITALIC CAPITAL Y (U+1D480)"," f09d9280"
" &#119937;","MATHEMATICAL BOLD ITALIC CAPITAL Z (U+1D481)"," f09d9281"
" &#119938;","MATHEMATICAL BOLD ITALIC SMALL A (U+1D482)"," f09d9282"
" &#119939;","MATHEMATICAL BOLD ITALIC SMALL B (U+1D483)"," f09d9283"
" &#119940;","MATHEMATICAL BOLD ITALIC SMALL C (U+1D484)"," f09d9284"
" &#119941;","MATHEMATICAL BOLD ITALIC SMALL D (U+1D485)"," f09d9285"
" &#119942;","MATHEMATICAL BOLD ITALIC SMALL E (U+1D486)"," f09d9286"
" &#119943;","MATHEMATICAL BOLD ITALIC SMALL F (U+1D487)"," f09d9287"
" &#119944;","MATHEMATICAL BOLD ITALIC SMALL G (U+1D488)"," f09d9288"
" &#119945;","MATHEMATICAL BOLD ITALIC SMALL H (U+1D489)"," f09d9289"
" &#119946;","MATHEMATICAL BOLD ITALIC SMALL I (U+1D48A)"," f09d928a"
" &#119947;","MATHEMATICAL BOLD ITALIC SMALL J (U+1D48B)"," f09d928b"
" &#119948;","MATHEMATICAL BOLD ITALIC SMALL K (U+1D48C)"," f09d928c"
" &#119949;","MATHEMATICAL BOLD ITALIC SMALL L (U+1D48D)"," f09d928d"
" &#119950;","MATHEMATICAL BOLD ITALIC SMALL M (U+1D48E)"," f09d928e"
" &#119951;","MATHEMATICAL BOLD ITALIC SMALL N (U+1D48F)"," f09d928f"
" &#119952;","MATHEMATICAL BOLD ITALIC SMALL O (U+1D490)"," f09d9290"
" &#119953;","MATHEMATICAL BOLD ITALIC SMALL P (U+1D491)"," f09d9291"
" &#119954;","MATHEMATICAL BOLD ITALIC SMALL Q (U+1D492)"," f09d9292"
" &#119955;","MATHEMATICAL BOLD ITALIC SMALL R (U+1D493)"," f09d9293"
" &#119956;","MATHEMATICAL BOLD ITALIC SMALL S (U+1D494)"," f09d9294"
" &#119957;","MATHEMATICAL BOLD ITALIC SMALL T (U+1D495)"," f09d9295"
" &#119958;","MATHEMATICAL BOLD ITALIC SMALL U (U+1D496)"," f09d9296"
" &#119959;","MATHEMATICAL BOLD ITALIC SMALL V (U+1D497)"," f09d9297"
" &#119960;","MATHEMATICAL BOLD ITALIC SMALL W (U+1D498)"," f09d9298"
" &#119961;","MATHEMATICAL BOLD ITALIC SMALL X (U+1D499)"," f09d9299"
" &#119962;","MATHEMATICAL BOLD ITALIC SMALL Y (U+1D49A)"," f09d929a"
" &#119963;","MATHEMATICAL BOLD ITALIC SMALL Z (U+1D49B)"," f09d929b"
" &#119964;","MATHEMATICAL SCRIPT CAPITAL A (U+1D49C)"," f09d929c"
" &#119966;","MATHEMATICAL SCRIPT CAPITAL C (U+1D49E)"," f09d929e"
" &#119967;","MATHEMATICAL SCRIPT CAPITAL D (U+1D49F)"," f09d929f"
" &#119970;","MATHEMATICAL SCRIPT CAPITAL G (U+1D4A2)"," f09d92a2"
" &#119973;","MATHEMATICAL SCRIPT CAPITAL J (U+1D4A5)"," f09d92a5"
" &#119974;","MATHEMATICAL SCRIPT CAPITAL K (U+1D4A6)"," f09d92a6"
" &#119977;","MATHEMATICAL SCRIPT CAPITAL N (U+1D4A9)"," f09d92a9"
" &#119978;","MATHEMATICAL SCRIPT CAPITAL O (U+1D4AA)"," f09d92aa"
" &#119979;","MATHEMATICAL SCRIPT CAPITAL P (U+1D4AB)"," f09d92ab"
" &#119980;","MATHEMATICAL SCRIPT CAPITAL Q (U+1D4AC)"," f09d92ac"
" &#119982;","MATHEMATICAL SCRIPT CAPITAL S (U+1D4AE)"," f09d92ae"
" &#119983;","MATHEMATICAL SCRIPT CAPITAL T (U+1D4AF)"," f09d92af"
" &#119984;","MATHEMATICAL SCRIPT CAPITAL U (U+1D4B0)"," f09d92b0"
" &#119985;","MATHEMATICAL SCRIPT CAPITAL V (U+1D4B1)"," f09d92b1"
" &#119986;","MATHEMATICAL SCRIPT CAPITAL W (U+1D4B2)"," f09d92b2"
" &#119987;","MATHEMATICAL SCRIPT CAPITAL X (U+1D4B3)"," f09d92b3"
" &#119988;","MATHEMATICAL SCRIPT CAPITAL Y (U+1D4B4)"," f09d92b4"
" &#119989;","MATHEMATICAL SCRIPT CAPITAL Z (U+1D4B5)"," f09d92b5"
" &#119990;","MATHEMATICAL SCRIPT SMALL A (U+1D4B6)"," f09d92b6"
" &#119991;","MATHEMATICAL SCRIPT SMALL B (U+1D4B7)"," f09d92b7"
" &#119992;","MATHEMATICAL SCRIPT SMALL C (U+1D4B8)"," f09d92b8"
" &#119993;","MATHEMATICAL SCRIPT SMALL D (U+1D4B9)"," f09d92b9"
" &#119995;","MATHEMATICAL SCRIPT SMALL F (U+1D4BB)"," f09d92bb"
" &#119997;","MATHEMATICAL SCRIPT SMALL H (U+1D4BD)"," f09d92bd"
" &#119998;","MATHEMATICAL SCRIPT SMALL I (U+1D4BE)"," f09d92be"
" &#119999;","MATHEMATICAL SCRIPT SMALL J (U+1D4BF)"," f09d92bf"
" &#120000;","MATHEMATICAL SCRIPT SMALL K (U+1D4C0)"," f09d9380"
" &#120001;","MATHEMATICAL SCRIPT SMALL L (U+1D4C1)"," f09d9381"
" &#120002;","MATHEMATICAL SCRIPT SMALL M (U+1D4C2)"," f09d9382"
" &#120003;","MATHEMATICAL SCRIPT SMALL N (U+1D4C3)"," f09d9383"
" &#120005;","MATHEMATICAL SCRIPT SMALL P (U+1D4C5)"," f09d9385"
" &#120006;","MATHEMATICAL SCRIPT SMALL Q (U+1D4C6)"," f09d9386"
" &#120007;","MATHEMATICAL SCRIPT SMALL R (U+1D4C7)"," f09d9387"
" &#120008;","MATHEMATICAL SCRIPT SMALL S (U+1D4C8)"," f09d9388"
